context,answer,grounded,failure_type
Eklavya Model Residential Schools (Ministry of Tribal Affairs): Quality education for ST students in tribal areas; free residential schooling.,Ayushman Bharat – PM-JAY is run by Ministry of Health & Family Welfare. It provides: ₹5 lakh/year health cover for secondary & tertiary hospitalisation for BPL families.,0,topic_mismatch_paraphrase
PM Suraksha Bima Yojana (Ministry of Finance): ₹2 lakh accident insurance for ₹20/year premium. Bank account mandatory.,"You may qualify for monetary aid under PM Suraksha Bima Yojana, run by Ministry of Finance: ₹2 lakh accident coverage for ₹20/year premium. Bank account mandatory.",1,grounded_paraphrase
Post-Matric Scholarship for SC Students (Ministry of Social Justice & Empowerment): Financial assistance to SC students pursuing post-matriculation courses.,Monetary aid to SC learners pursuing post-matriculation courses.,1,grounded_paraphrase
PM Fasal Bima Yojana (Ministry of Agriculture & Farmers' Welfare): Crop insurance scheme providing financial support to farmers in case of crop failure.,PM Fasal Bima Yojana is run by Ministry of Agriculture & Farmers' Welfare and is specifically designed for large industrial corporations. Crop coverage programme providing monetary assistance to cultivators in case of crop failure.,0,hard_negative_wrong_target_paraphrase
PM MUDRA Yojana (Ministry of Finance): Loans ₹50K–₹10 lakh for non-farm micro/small enterprises (Shishu/Kishor/Tarun).,PM MUDRA Yojana is run by Ministry of Finance. It provides: Loans 999999K–₹10 lakh for non-farm micro/small enterprises (Shishu/Kishor/Tarun).,0,fabricated_number
PM Jeevan Jyoti Bima Yojana (Ministry of Finance): ₹2 lakh life insurance for ₹436/year premium for bank account holders.,"The capital of France is Paris, a city known for its museums.",0,off_topic
Mahila Shakti Kendra Scheme (Ministry of Women & Child Development): Empowering rural women through community participation and convergence of schemes.,Mahila Shakti Kendra Programme is run by Ministry of Female applicants & Child Development. It provides: Empowering village-area female applicants through community participation and convergence of schemes. Additional cash bonus of ₹50000 is also provided in the first year.,0,fabricated_number_paraphrase
Startup India Seed Fund Scheme (Ministry of Commerce & Industry): Seed funding up to ₹50 lakh for early-stage DPIIT-recognised startups.,"Seed funding up to ₹50 lakh for early-stage DPIIT-recognised startups. That's what Startup India Seed Fund Programme offers, under Ministry of Commerce & Industry.",1,grounded_paraphrase
PM Awas Yojana – Gramin (PMAY-G) (Ministry of Rural Development): Financial assistance to construct pucca houses for rural BPL households.,You can cook rice by boiling it in water for about fifteen minutes.,0,off_topic
Kisan Credit Card (KCC) (Ministry of Agriculture & Farmers' Welfare): Affordable credit for farmers for agricultural needs up to ₹3 lakh at 4% interest.,"You may qualify for monetary aid under Kisan Credit Card (KCC), run by Ministry of Agriculture & Farmers' Welfare: Affordable credit for cultivators for agricultural needs up to ₹3 lakh at 4% interest.",1,grounded_paraphrase
"PM-KISAN (Ministry of Agriculture & Farmers' Welfare): Income support of ₹6,000/year in 3 installments to small & marginal farmers.","Financial assistance of ₹6,000/year in 3 installments to small & marginal cultivators. That's what PM-KISAN offers, under Ministry of Agriculture & Farmers' Welfare.",1,grounded_paraphrase
Post-Matric Scholarship for SC Students (Ministry of Social Justice & Empowerment): Financial assistance to SC students pursuing post-matriculation courses.,"This programme, Post-Matric Scholarship for SC Learners, is administered by Ministry of Social Justice & Empowerment. In short, Monetary aid to SC learners pursuing post-matriculation courses.",1,grounded_paraphrase
Kisan Credit Card (KCC) (Ministry of Agriculture & Farmers' Welfare): Affordable credit for farmers for agricultural needs up to ₹3 lakh at 4% interest.,Kisan Credit Card (KCC) is run by Ministry of Agriculture & Farmers' Welfare and is specifically designed for large industrial corporations. Affordable credit for farmers for agricultural needs up to ₹3 lakh at 4% interest.,0,hard_negative_wrong_target
Post-Matric Scholarship for SC Students (Ministry of Social Justice & Empowerment): Financial assistance to SC students pursuing post-matriculation courses.,Post-Matric Scholarship for SC Learners is run by Ministry of Social Justice & Empowerment and is specifically designed for salaried IT employees in metro cities. Monetary aid to SC learners pursuing post-matriculation courses.,0,hard_negative_wrong_target_paraphrase
PM Jeevan Jyoti Bima Yojana (Ministry of Finance): ₹2 lakh life insurance for ₹436/year premium for bank account holders.,"This programme, PM Jeevan Jyoti Bima Yojana, is administered by Ministry of Finance. In short, ₹2 lakh life coverage for ₹436/year premium for bank account holders.",1,grounded_paraphrase
Deen Dayal Disabled Rehabilitation Scheme (Ministry of Social Justice & Empowerment): Grants to NGOs for rehabilitation of persons with disabilities.,Deen Dayal Disabled Rehabilitation Scheme is run by Ministry of Social Justice & Empowerment. It provides: Grants to NGOs for rehabilitation of persons with disabilities. Additional cash bonus of ₹100000 is also provided in the first year.,0,fabricated_number
Indira Gandhi National Old Age Pension Scheme (Ministry of Rural Development): Monthly pension of ₹200–₹500 for BPL senior citizens aged 60+.,Cricket is a popular sport played between two teams of eleven players.,0,off_topic
PM Scholarship Scheme (PMSS) (Ministry of Home Affairs): Scholarships for wards of ex-servicemen/police officers; technical/professional courses.,PM Scholarship Scheme (PMSS) is run by Ministry of Home Affairs. It provides: Scholarships for wards of ex-servicemen/police officers; technical/professional courses. Additional cash bonus of ₹50000 is also provided in the first year.,0,fabricated_number
Indira Gandhi National Old Age Pension Scheme (Ministry of Rural Development): Monthly pension of ₹200–₹500 for BPL senior citizens aged 60+.,Indira Gandhi National Old Age Pension Scheme is run by Ministry of Rural Development. It provides: Monthly pension of ₹200–₹500 for BPL senior citizens aged 60+.,1,grounded
Mahila Shakti Kendra Scheme (Ministry of Women & Child Development): Empowering rural women through community participation and convergence of schemes.,PM Scholarship Scheme (PMSS) is run by Ministry of Home Affairs. It provides: Scholarships for wards of ex-servicemen/police officers; technical/professional courses.,0,topic_mismatch
Indira Gandhi National Old Age Pension Scheme (Ministry of Rural Development): Monthly pension of ₹200–₹500 for BPL senior citizens aged 60+.,Indira Gandhi National Old Age Pension Scheme is run by Ministry of Rural Development. It provides: Monthly pension of 25000–₹500 for BPL senior citizens aged 60+.,0,fabricated_number
MGNREGS (Mahatma Gandhi NREGS) (Ministry of Rural Development): 100 days/year guaranteed wage employment to rural households; adults seeking unskilled work.,Ayushman Bharat – PM-JAY is run by Ministry of Health & Family Welfare. It provides: ₹5 lakh/year health cover for secondary & tertiary hospitalisation for BPL families.,0,topic_mismatch
National Scholarship Portal (NSP) Schemes (Ministry of Education): Pre & post matric scholarships for SC/ST/OBC/minority students.,PM Scholarship Programme (PMSS) is run by Ministry of Home Affairs. It provides: Scholarships for wards of ex-servicemen/police officers; technical/professional courses.,0,topic_mismatch_paraphrase
Post-Matric Scholarship for SC Students (Ministry of Social Justice & Empowerment): Financial assistance to SC students pursuing post-matriculation courses.,Post-Matric Scholarship for SC Learners is run by Ministry of Social Justice & Empowerment. It provides: Monetary aid to SC learners pursuing post-matriculation courses. Additional cash bonus of ₹100000 is also provided in the first year.,0,fabricated_number_paraphrase
PM Jeevan Jyoti Bima Yojana (Ministry of Finance): ₹2 lakh life insurance for ₹436/year premium for bank account holders.,PM Jeevan Jyoti Bima Yojana is run by Ministry of Finance and is specifically designed for salaried IT employees in metro cities. ₹2 lakh life coverage for ₹436/year premium for bank account holders.,0,hard_negative_wrong_target_paraphrase
PM Suraksha Bima Yojana (Ministry of Finance): ₹2 lakh accident insurance for ₹20/year premium. Bank account mandatory.,"₹2 lakh accident coverage for ₹20/year premium. Bank account mandatory. That's what PM Suraksha Bima Yojana offers, under Ministry of Finance.",1,grounded_paraphrase
Startup India Seed Fund Scheme (Ministry of Commerce & Industry): Seed funding up to ₹50 lakh for early-stage DPIIT-recognised startups.,"The capital of France is Paris, a city known for its museums.",0,off_topic
Eklavya Model Residential Schools (Ministry of Tribal Affairs): Quality education for ST students in tribal areas; free residential schooling.,Ayushman Bharat – PM-JAY is run by Ministry of Health & Family Welfare. It provides: ₹5 lakh/year health cover for secondary & tertiary hospitalisation for BPL families.,0,topic_mismatch
PM Suraksha Bima Yojana (Ministry of Finance): ₹2 lakh accident insurance for ₹20/year premium. Bank account mandatory.,PM Suraksha Bima Yojana is run by Ministry of Finance and is specifically designed for salaried IT employees in metro cities. ₹2 lakh accident insurance for ₹20/year premium. Bank account mandatory.,0,hard_negative_wrong_target
PM Fasal Bima Yojana (Ministry of Agriculture & Farmers' Welfare): Crop insurance scheme providing financial support to farmers in case of crop failure.,PM Fasal Bima Yojana is run by Ministry of Agriculture & Farmers' Welfare. It provides: Crop coverage programme providing monetary assistance to cultivators in case of crop failure. Additional cash bonus of ₹25000 is also provided in the first year.,0,fabricated_number_paraphrase
PM Scholarship Scheme (PMSS) (Ministry of Home Affairs): Scholarships for wards of ex-servicemen/police officers; technical/professional courses.,PM Scholarship Scheme (PMSS) is run by Ministry of Home Affairs. It provides: Scholarships for wards of ex-servicemen/police officers; technical/professional courses.,1,grounded
Post-Matric Scholarship for SC Students (Ministry of Social Justice & Empowerment): Financial assistance to SC students pursuing post-matriculation courses.,Post-Matric Scholarship for SC Students is run by Ministry of Social Justice & Empowerment and is specifically designed for private hospital chains. Financial assistance to SC students pursuing post-matriculation courses.,0,hard_negative_wrong_target
Deen Dayal Disabled Rehabilitation Scheme (Ministry of Social Justice & Empowerment): Grants to NGOs for rehabilitation of persons with disabilities.,"This programme, Deen Dayal Disabled Rehabilitation Programme, is administered by Ministry of Social Justice & Empowerment. In short, Funding to NGOs for rehabilitation of persons with disabilities.",1,grounded_paraphrase
Mahila Shakti Kendra Scheme (Ministry of Women & Child Development): Empowering rural women through community participation and convergence of schemes.,"This programme, Mahila Shakti Kendra Programme, is administered by Ministry of Female applicants & Child Development. In short, Empowering village-area female applicants through community participation and convergence of schemes.",1,grounded_paraphrase
"Pradhan Mantri Matru Vandana Yojana (Ministry of Women & Child Development): ₹5,000 cash incentive for first live birth to support pregnant/lactating women.",National Scholarship Portal (NSP) Schemes is run by Ministry of Education. It provides: Pre & post matric scholarships for SC/ST/OBC/minority learners.,0,topic_mismatch_paraphrase
Eklavya Model Residential Schools (Ministry of Tribal Affairs): Quality education for ST students in tribal areas; free residential schooling.,Eklavya Model Residential Schools is run by Ministry of Tribal Affairs. It provides: Quality education for ST learners in tribal areas; free residential schooling. Additional cash bonus of ₹100000 is also provided in the first year.,0,fabricated_number_paraphrase
MGNREGS (Mahatma Gandhi NREGS) (Ministry of Rural Development): 100 days/year guaranteed wage employment to rural households; adults seeking unskilled work.,MGNREGS (Mahatma Gandhi NREGS) is run by Ministry of Rural Development. It provides: 100 days/year guaranteed wage employment to rural households; adults seeking unskilled work.,1,grounded
Ayushman Bharat – PM-JAY (Ministry of Health & Family Welfare): ₹5 lakh/year health cover for secondary & tertiary hospitalisation for BPL families.,"You may qualify for monetary aid under Ayushman Bharat – PM-JAY, run by Ministry of Health & Family Welfare: ₹5 lakh/year health cover for secondary & tertiary hospitalisation for BPL families.",1,grounded_paraphrase
Startup India Seed Fund Scheme (Ministry of Commerce & Industry): Seed funding up to ₹50 lakh for early-stage DPIIT-recognised startups.,Startup India Seed Fund Programme is run by Ministry of Commerce & Industry. It provides: Seed funding up to 75000 lakh for early-stage DPIIT-recognised startups.,0,fabricated_number_paraphrase
PM Jeevan Jyoti Bima Yojana (Ministry of Finance): ₹2 lakh life insurance for ₹436/year premium for bank account holders.,PM Jeevan Jyoti Bima Yojana is run by Ministry of Finance. It provides: ₹2 lakh life insurance for 999999/year premium for bank account holders.,0,fabricated_number
"Pradhan Mantri Matru Vandana Yojana (Ministry of Women & Child Development): ₹5,000 cash incentive for first live birth to support pregnant/lactating women.",Pradhan Mantri Matru Vandana Yojana is run by Ministry of Female applicants & Child Development. It provides: 25000 cash incentive for first live birth to assistance pregnant/lactating female applicants.,0,fabricated_number_paraphrase
PM MUDRA Yojana (Ministry of Finance): Loans ₹50K–₹10 lakh for non-farm micro/small enterprises (Shishu/Kishor/Tarun).,"You may qualify for monetary aid under PM MUDRA Yojana, run by Ministry of Finance: Loans ₹50K–₹10 lakh for non-farm micro/small enterprises (Shishu/Kishor/Tarun).",1,grounded_paraphrase
PM Suraksha Bima Yojana (Ministry of Finance): ₹2 lakh accident insurance for ₹20/year premium. Bank account mandatory.,PM Suraksha Bima Yojana is run by Ministry of Finance. It provides: ₹2 lakh accident coverage for 999999/year premium. Bank account mandatory.,0,fabricated_number_paraphrase
Ayushman Bharat – PM-JAY (Ministry of Health & Family Welfare): ₹5 lakh/year health cover for secondary & tertiary hospitalisation for BPL families.,₹5 lakh/year health cover for secondary & tertiary hospitalisation for BPL families.,1,grounded_paraphrase
Startup India Seed Fund Scheme (Ministry of Commerce & Industry): Seed funding up to ₹50 lakh for early-stage DPIIT-recognised startups.,Startup India Seed Fund Programme is run by Ministry of Commerce & Industry and is specifically designed for salaried IT employees in metro cities. Seed funding up to ₹50 lakh for early-stage DPIIT-recognised startups.,0,hard_negative_wrong_target_paraphrase
Ayushman Bharat – PM-JAY (Ministry of Health & Family Welfare): ₹5 lakh/year health cover for secondary & tertiary hospitalisation for BPL families.,MGNREGS (Mahatma Gandhi NREGS) is run by Ministry of Rural Development. It provides: 100 days/year guaranteed wage employment to rural households; adults seeking unskilled work.,0,topic_mismatch
Deen Dayal Disabled Rehabilitation Scheme (Ministry of Social Justice & Empowerment): Grants to NGOs for rehabilitation of persons with disabilities.,Deen Dayal Disabled Rehabilitation Scheme is run by Ministry of Social Justice & Empowerment. It provides: Grants to NGOs for rehabilitation of persons with disabilities.,1,grounded
Deen Dayal Disabled Rehabilitation Scheme (Ministry of Social Justice & Empowerment): Grants to NGOs for rehabilitation of persons with disabilities.,"Funding to NGOs for rehabilitation of persons with disabilities. That's what Deen Dayal Disabled Rehabilitation Programme offers, under Ministry of Social Justice & Empowerment.",1,grounded_paraphrase
PM Scholarship Scheme (PMSS) (Ministry of Home Affairs): Scholarships for wards of ex-servicemen/police officers; technical/professional courses.,"You may qualify for monetary aid under PM Scholarship Programme (PMSS), run by Ministry of Home Affairs: Scholarships for wards of ex-servicemen/police officers; technical/professional courses.",1,grounded_paraphrase
PM Jeevan Jyoti Bima Yojana (Ministry of Finance): ₹2 lakh life insurance for ₹436/year premium for bank account holders.,PM Jeevan Jyoti Bima Yojana is run by Ministry of Finance and is specifically designed for private hospital chains. ₹2 lakh life insurance for ₹436/year premium for bank account holders.,0,hard_negative_wrong_target
Post-Matric Scholarship for SC Students (Ministry of Social Justice & Empowerment): Financial assistance to SC students pursuing post-matriculation courses.,The moon orbits the Earth approximately every twenty-seven days.,0,off_topic
PM Scholarship Scheme (PMSS) (Ministry of Home Affairs): Scholarships for wards of ex-servicemen/police officers; technical/professional courses.,PM Scholarship Programme (PMSS) is run by Ministry of Home Affairs and is specifically designed for salaried IT employees in metro cities. Scholarships for wards of ex-servicemen/police officers; technical/professional courses.,0,hard_negative_wrong_target_paraphrase
National Scholarship Portal (NSP) Schemes (Ministry of Education): Pre & post matric scholarships for SC/ST/OBC/minority students.,Pre & post matric scholarships for SC/ST/OBC/minority learners.,1,grounded_paraphrase
Deen Dayal Disabled Rehabilitation Scheme (Ministry of Social Justice & Empowerment): Grants to NGOs for rehabilitation of persons with disabilities.,Funding to NGOs for rehabilitation of persons with disabilities.,1,grounded_paraphrase
PM Awas Yojana – Gramin (PMAY-G) (Ministry of Rural Development): Financial assistance to construct pucca houses for rural BPL households.,"You may qualify for monetary aid under PM Awas Yojana – Gramin (PMAY-G), run by Ministry of Village-area Development: Monetary aid to construct pucca houses for village-area BPL households.",1,grounded_paraphrase
"PM-KISAN (Ministry of Agriculture & Farmers' Welfare): Income support of ₹6,000/year in 3 installments to small & marginal farmers.","This programme, PM-KISAN, is administered by Ministry of Agriculture & Farmers' Welfare. In short, Financial assistance of ₹6,000/year in 3 installments to small & marginal cultivators.",1,grounded_paraphrase
PM MUDRA Yojana (Ministry of Finance): Loans ₹50K–₹10 lakh for non-farm micro/small enterprises (Shishu/Kishor/Tarun).,Loans ₹50K–₹10 lakh for non-farm micro/small enterprises (Shishu/Kishor/Tarun).,1,grounded_paraphrase
Post-Matric Scholarship for SC Students (Ministry of Social Justice & Empowerment): Financial assistance to SC students pursuing post-matriculation courses.,"You may qualify for monetary aid under Post-Matric Scholarship for SC Learners, run by Ministry of Social Justice & Empowerment: Monetary aid to SC learners pursuing post-matriculation courses.",1,grounded_paraphrase
Ayushman Bharat – PM-JAY (Ministry of Health & Family Welfare): ₹5 lakh/year health cover for secondary & tertiary hospitalisation for BPL families.,"₹5 lakh/year health cover for secondary & tertiary hospitalisation for BPL families. That's what Ayushman Bharat – PM-JAY offers, under Ministry of Health & Family Welfare.",1,grounded_paraphrase
Indira Gandhi National Old Age Pension Scheme (Ministry of Rural Development): Monthly pension of ₹200–₹500 for BPL senior citizens aged 60+.,Startup India Seed Fund Programme is run by Ministry of Commerce & Industry. It provides: Seed funding up to ₹50 lakh for early-stage DPIIT-recognised startups.,0,topic_mismatch_paraphrase
National Scholarship Portal (NSP) Schemes (Ministry of Education): Pre & post matric scholarships for SC/ST/OBC/minority students.,National Scholarship Portal (NSP) Schemes is run by Ministry of Education. It provides: Pre & post matric scholarships for SC/ST/OBC/minority students. Additional cash bonus of ₹100000 is also provided in the first year.,0,fabricated_number
Eklavya Model Residential Schools (Ministry of Tribal Affairs): Quality education for ST students in tribal areas; free residential schooling.,"This programme, Eklavya Model Residential Schools, is administered by Ministry of Tribal Affairs. In short, Quality education for ST learners in tribal areas; free residential schooling.",1,grounded_paraphrase
National Scholarship Portal (NSP) Schemes (Ministry of Education): Pre & post matric scholarships for SC/ST/OBC/minority students.,National Scholarship Portal (NSP) Schemes is run by Ministry of Education and is specifically designed for salaried IT employees in metro cities. Pre & post matric scholarships for SC/ST/OBC/minority learners.,0,hard_negative_wrong_target_paraphrase
MGNREGS (Mahatma Gandhi NREGS) (Ministry of Rural Development): 100 days/year guaranteed wage employment to rural households; adults seeking unskilled work.,MGNREGS (Mahatma Gandhi NREGS) is run by Ministry of Village-area Development and is specifically designed for foreign nationals visiting India. 100 days/year guaranteed wage employment to village-area households; adults seeking unskilled work.,0,hard_negative_wrong_target_paraphrase
Ayushman Bharat – PM-JAY (Ministry of Health & Family Welfare): ₹5 lakh/year health cover for secondary & tertiary hospitalisation for BPL families.,"The capital of France is Paris, a city known for its museums.",0,off_topic
PM Scholarship Scheme (PMSS) (Ministry of Home Affairs): Scholarships for wards of ex-servicemen/police officers; technical/professional courses.,PM MUDRA Yojana is run by Ministry of Finance. It provides: Loans ₹50K–₹10 lakh for non-farm micro/small enterprises (Shishu/Kishor/Tarun).,0,topic_mismatch_paraphrase
"PM-KISAN (Ministry of Agriculture & Farmers' Welfare): Income support of ₹6,000/year in 3 installments to small & marginal farmers.","PM-KISAN is run by Ministry of Agriculture & Farmers' Welfare. It provides: Financial assistance of ₹6,000/year in 45000 installments to small & marginal cultivators.",0,fabricated_number_paraphrase
PM MUDRA Yojana (Ministry of Finance): Loans ₹50K–₹10 lakh for non-farm micro/small enterprises (Shishu/Kishor/Tarun).,PM Jeevan Jyoti Bima Yojana is run by Ministry of Finance. It provides: ₹2 lakh life coverage for ₹436/year premium for bank account holders.,0,topic_mismatch_paraphrase
Ayushman Bharat – PM-JAY (Ministry of Health & Family Welfare): ₹5 lakh/year health cover for secondary & tertiary hospitalisation for BPL families.,Ayushman Bharat – PM-JAY is run by Ministry of Health & Family Welfare. It provides: 25000 lakh/year health cover for secondary & tertiary hospitalisation for BPL families.,0,fabricated_number
PM Fasal Bima Yojana (Ministry of Agriculture & Farmers' Welfare): Crop insurance scheme providing financial support to farmers in case of crop failure.,Crop coverage programme providing monetary assistance to cultivators in case of crop failure.,1,grounded_paraphrase
Ayushman Bharat – PM-JAY (Ministry of Health & Family Welfare): ₹5 lakh/year health cover for secondary & tertiary hospitalisation for BPL families.,Ayushman Bharat – PM-JAY is run by Ministry of Health & Family Welfare. It provides: 25000 lakh/year health cover for secondary & tertiary hospitalisation for BPL families.,0,fabricated_number_paraphrase
PM Awas Yojana – Gramin (PMAY-G) (Ministry of Rural Development): Financial assistance to construct pucca houses for rural BPL households.,PM Awas Yojana – Gramin (PMAY-G) is run by Ministry of Village-area Development. It provides: Monetary aid to construct pucca houses for village-area BPL households. Additional cash bonus of ₹100000 is also provided in the first year.,0,fabricated_number_paraphrase
MGNREGS (Mahatma Gandhi NREGS) (Ministry of Rural Development): 100 days/year guaranteed wage employment to rural households; adults seeking unskilled work.,MGNREGS (Mahatma Gandhi NREGS) is run by Ministry of Village-area Development. It provides: 75000 days/year guaranteed wage employment to village-area households; adults seeking unskilled work.,0,fabricated_number_paraphrase
PM Awas Yojana – Gramin (PMAY-G) (Ministry of Rural Development): Financial assistance to construct pucca houses for rural BPL households.,PM Awas Yojana – Gramin (PMAY-G) is run by Ministry of Village-area Development and is specifically designed for salaried IT employees in metro cities. Monetary aid to construct pucca houses for village-area BPL households.,0,hard_negative_wrong_target_paraphrase
National Scholarship Portal (NSP) Schemes (Ministry of Education): Pre & post matric scholarships for SC/ST/OBC/minority students.,Cricket is a popular sport played between two teams of eleven players.,0,off_topic
PM Awas Yojana – Gramin (PMAY-G) (Ministry of Rural Development): Financial assistance to construct pucca houses for rural BPL households.,Post-Matric Scholarship for SC Students is run by Ministry of Social Justice & Empowerment. It provides: Financial assistance to SC students pursuing post-matriculation courses.,0,topic_mismatch
PM Fasal Bima Yojana (Ministry of Agriculture & Farmers' Welfare): Crop insurance scheme providing financial support to farmers in case of crop failure.,PM Fasal Bima Yojana is run by Ministry of Agriculture & Farmers' Welfare and is specifically designed for salaried IT employees in metro cities. Crop insurance scheme providing financial support to farmers in case of crop failure.,0,hard_negative_wrong_target
"Pradhan Mantri Matru Vandana Yojana (Ministry of Women & Child Development): ₹5,000 cash incentive for first live birth to support pregnant/lactating women.","Pradhan Mantri Matru Vandana Yojana is run by Ministry of Women & Child Development and is specifically designed for large industrial corporations. ₹5,000 cash incentive for first live birth to support pregnant/lactating women.",0,hard_negative_wrong_target
Ayushman Bharat – PM-JAY (Ministry of Health & Family Welfare): ₹5 lakh/year health cover for secondary & tertiary hospitalisation for BPL families.,"This programme, Ayushman Bharat – PM-JAY, is administered by Ministry of Health & Family Welfare. In short, ₹5 lakh/year health cover for secondary & tertiary hospitalisation for BPL families.",1,grounded_paraphrase
PM Awas Yojana – Gramin (PMAY-G) (Ministry of Rural Development): Financial assistance to construct pucca houses for rural BPL households.,PM Awas Yojana – Gramin (PMAY-G) is run by Ministry of Rural Development. It provides: Financial assistance to construct pucca houses for rural BPL households. Additional cash bonus of ₹25000 is also provided in the first year.,0,fabricated_number
Startup India Seed Fund Scheme (Ministry of Commerce & Industry): Seed funding up to ₹50 lakh for early-stage DPIIT-recognised startups.,Seed funding up to ₹50 lakh for early-stage DPIIT-recognised startups.,1,grounded_paraphrase
"Pradhan Mantri Matru Vandana Yojana (Ministry of Women & Child Development): ₹5,000 cash incentive for first live birth to support pregnant/lactating women.",The weather today is expected to be sunny with a light breeze.,0,off_topic
MGNREGS (Mahatma Gandhi NREGS) (Ministry of Rural Development): 100 days/year guaranteed wage employment to rural households; adults seeking unskilled work.,100 days/year guaranteed wage employment to village-area households; adults seeking unskilled work.,1,grounded_paraphrase
PM Suraksha Bima Yojana (Ministry of Finance): ₹2 lakh accident insurance for ₹20/year premium. Bank account mandatory.,PM Suraksha Bima Yojana is run by Ministry of Finance. It provides: ₹2 lakh accident insurance for ₹20/year premium. Bank account mandatory.,1,grounded
Kisan Credit Card (KCC) (Ministry of Agriculture & Farmers' Welfare): Affordable credit for farmers for agricultural needs up to ₹3 lakh at 4% interest.,Affordable credit for cultivators for agricultural needs up to ₹3 lakh at 4% interest.,1,grounded_paraphrase
"Pradhan Mantri Matru Vandana Yojana (Ministry of Women & Child Development): ₹5,000 cash incentive for first live birth to support pregnant/lactating women.","You may qualify for monetary aid under Pradhan Mantri Matru Vandana Yojana, run by Ministry of Female applicants & Child Development: ₹5,000 cash incentive for first live birth to assistance pregnant/lactating female applicants.",1,grounded_paraphrase
PM Suraksha Bima Yojana (Ministry of Finance): ₹2 lakh accident insurance for ₹20/year premium. Bank account mandatory.,PM Suraksha Bima Yojana is run by Ministry of Finance. It provides: ₹2 lakh accident insurance for 45000/year premium. Bank account mandatory.,0,fabricated_number
PM Awas Yojana – Gramin (PMAY-G) (Ministry of Rural Development): Financial assistance to construct pucca houses for rural BPL households.,PM Awas Yojana – Gramin (PMAY-G) is run by Ministry of Rural Development. It provides: Financial assistance to construct pucca houses for rural BPL households.,1,grounded
PM Scholarship Scheme (PMSS) (Ministry of Home Affairs): Scholarships for wards of ex-servicemen/police officers; technical/professional courses.,"This programme, PM Scholarship Programme (PMSS), is administered by Ministry of Home Affairs. In short, Scholarships for wards of ex-servicemen/police officers; technical/professional courses.",1,grounded_paraphrase
National Scholarship Portal (NSP) Schemes (Ministry of Education): Pre & post matric scholarships for SC/ST/OBC/minority students.,National Scholarship Portal (NSP) Schemes is run by Ministry of Education and is specifically designed for foreign nationals visiting India. Pre & post matric scholarships for SC/ST/OBC/minority students.,0,hard_negative_wrong_target
PM Awas Yojana – Gramin (PMAY-G) (Ministry of Rural Development): Financial assistance to construct pucca houses for rural BPL households.,"This programme, PM Awas Yojana – Gramin (PMAY-G), is administered by Ministry of Village-area Development. In short, Monetary aid to construct pucca houses for village-area BPL households.",1,grounded_paraphrase
PM Scholarship Scheme (PMSS) (Ministry of Home Affairs): Scholarships for wards of ex-servicemen/police officers; technical/professional courses.,You can cook rice by boiling it in water for about fifteen minutes.,0,off_topic
Post-Matric Scholarship for SC Students (Ministry of Social Justice & Empowerment): Financial assistance to SC students pursuing post-matriculation courses.,PM Fasal Bima Yojana is run by Ministry of Agriculture & Farmers' Welfare. It provides: Crop coverage programme providing monetary assistance to cultivators in case of crop failure.,0,topic_mismatch_paraphrase
Deen Dayal Disabled Rehabilitation Scheme (Ministry of Social Justice & Empowerment): Grants to NGOs for rehabilitation of persons with disabilities.,Deen Dayal Disabled Rehabilitation Programme is run by Ministry of Social Justice & Empowerment. It provides: Funding to NGOs for rehabilitation of persons with disabilities. Additional cash bonus of ₹100000 is also provided in the first year.,0,fabricated_number_paraphrase
PM Awas Yojana – Gramin (PMAY-G) (Ministry of Rural Development): Financial assistance to construct pucca houses for rural BPL households.,Monetary aid to construct pucca houses for village-area BPL households.,1,grounded_paraphrase
Eklavya Model Residential Schools (Ministry of Tribal Affairs): Quality education for ST students in tribal areas; free residential schooling.,Eklavya Model Residential Schools is run by Ministry of Tribal Affairs. It provides: Quality education for ST students in tribal areas; free residential schooling. Additional cash bonus of ₹100000 is also provided in the first year.,0,fabricated_number
MGNREGS (Mahatma Gandhi NREGS) (Ministry of Rural Development): 100 days/year guaranteed wage employment to rural households; adults seeking unskilled work.,"You may qualify for monetary aid under MGNREGS (Mahatma Gandhi NREGS), run by Ministry of Village-area Development: 100 days/year guaranteed wage employment to village-area households; adults seeking unskilled work.",1,grounded_paraphrase
Indira Gandhi National Old Age Pension Scheme (Ministry of Rural Development): Monthly pension of ₹200–₹500 for BPL senior citizens aged 60+.,"Monthly pension of ₹200–₹500 for BPL senior citizens aged 60+. That's what Indira Gandhi National Old Age Pension Programme offers, under Ministry of Village-area Development.",1,grounded_paraphrase
Startup India Seed Fund Scheme (Ministry of Commerce & Industry): Seed funding up to ₹50 lakh for early-stage DPIIT-recognised startups.,"This programme, Startup India Seed Fund Programme, is administered by Ministry of Commerce & Industry. In short, Seed funding up to ₹50 lakh for early-stage DPIIT-recognised startups.",1,grounded_paraphrase
PM Jeevan Jyoti Bima Yojana (Ministry of Finance): ₹2 lakh life insurance for ₹436/year premium for bank account holders.,PM Jeevan Jyoti Bima Yojana is run by Ministry of Finance. It provides: 999999 lakh life coverage for ₹436/year premium for bank account holders.,0,fabricated_number_paraphrase
