query,passage,label,lang
kisaan ke liye PM Scholarship Scheme (PMSS) kaise milega,PM Scholarship Scheme (PMSS) (Ministry of Home Affairs): Scholarships for wards of ex-servicemen/police officers; technical/professional courses.,1,hi-mix
Who is eligible for PM Fasal Bima Yojana,PM Fasal Bima Yojana (Ministry of Agriculture & Farmers' Welfare): Crop insurance scheme providing financial support to farmers in case of crop failure.,1,en
Which ministry runs Mahila Shakti Kendra Scheme,Mahila Shakti Kendra Scheme (Ministry of Women & Child Development): Empowering rural women through community participation and convergence of schemes.,1,en
What are the benefits of Mahila Shakti Kendra Scheme,MGNREGS (Mahatma Gandhi NREGS) (Ministry of Rural Development): 100 days/year guaranteed wage employment to rural households; adults seeking unskilled work.,0,en
How do I apply for Kisan Credit Card (KCC),Kisan Credit Card (KCC) (Ministry of Agriculture & Farmers' Welfare): Affordable credit for farmers for agricultural needs up to ₹3 lakh at 4% interest.,1,en
What documents do I need for PM Suraksha Bima Yojana,Ayushman Bharat – PM-JAY (Ministry of Health & Family Welfare): ₹5 lakh/year health cover for secondary & tertiary hospitalisation for BPL families.,0,en
What are the benefits of PM Awas Yojana – Gramin (PMAY-G),PM Awas Yojana – Gramin (PMAY-G) (Ministry of Rural Development): Financial assistance to construct pucca houses for rural BPL households.,1,en
swasthya ke liye PM Suraksha Bima Yojana kaise milega,PM Suraksha Bima Yojana (Ministry of Finance): ₹2 lakh accident insurance for ₹20/year premium. Bank account mandatory.,1,hi-mix
Who is eligible for Post-Matric Scholarship for SC Students,Post-Matric Scholarship for SC Students (Ministry of Social Justice & Empowerment): Financial assistance to SC students pursuing post-matriculation courses.,1,en
Which ministry runs Ayushman Bharat – PM-JAY,PM Scholarship Scheme (PMSS) (Ministry of Home Affairs): Scholarships for wards of ex-servicemen/police officers; technical/professional courses.,0,en
Tell me about PM Scholarship Scheme (PMSS),PM Scholarship Scheme (PMSS) (Ministry of Home Affairs): Scholarships for wards of ex-servicemen/police officers; technical/professional courses.,1,en
What documents do I need for Pradhan Mantri Matru Vandana Yojana,PM Jeevan Jyoti Bima Yojana (Ministry of Finance): ₹2 lakh life insurance for ₹436/year premium for bank account holders.,0,en
What are the benefits of Post-Matric Scholarship for SC Students,Post-Matric Scholarship for SC Students (Ministry of Social Justice & Empowerment): Financial assistance to SC students pursuing post-matriculation courses.,1,en
What are the benefits of Mahila Shakti Kendra Scheme,Mahila Shakti Kendra Scheme (Ministry of Women & Child Development): Empowering rural women through community participation and convergence of schemes.,1,en
How do I apply for PM Suraksha Bima Yojana,PM Suraksha Bima Yojana (Ministry of Finance): ₹2 lakh accident insurance for ₹20/year premium. Bank account mandatory.,1,en
What documents do I need for Post-Matric Scholarship for SC Students,Post-Matric Scholarship for SC Students (Ministry of Social Justice & Empowerment): Financial assistance to SC students pursuing post-matriculation courses.,1,en
Which ministry runs Deen Dayal Disabled Rehabilitation Scheme,PM Suraksha Bima Yojana (Ministry of Finance): ₹2 lakh accident insurance for ₹20/year premium. Bank account mandatory.,0,en
Who is eligible for Eklavya Model Residential Schools,Eklavya Model Residential Schools (Ministry of Tribal Affairs): Quality education for ST students in tribal areas; free residential schooling.,1,en
Who is eligible for Pradhan Mantri Matru Vandana Yojana,"Pradhan Mantri Matru Vandana Yojana (Ministry of Women & Child Development): ₹5,000 cash incentive for first live birth to support pregnant/lactating women.",1,en
PM Awas Yojana – Gramin (PMAY-G) ke liye kya documents chahiye,PM Awas Yojana – Gramin (PMAY-G) (Ministry of Rural Development): Financial assistance to construct pucca houses for rural BPL households.,1,hi-mix
How do I apply for PM Jeevan Jyoti Bima Yojana,PM Jeevan Jyoti Bima Yojana (Ministry of Finance): ₹2 lakh life insurance for ₹436/year premium for bank account holders.,1,en
What is PM MUDRA Yojana?,PM Suraksha Bima Yojana (Ministry of Finance): ₹2 lakh accident insurance for ₹20/year premium. Bank account mandatory.,0,en
beti yojana ke baare mein batao,Startup India Seed Fund Scheme (Ministry of Commerce & Industry): Seed funding up to ₹50 lakh for early-stage DPIIT-recognised startups.,1,hi-mix
What documents do I need for Kisan Credit Card (KCC),Kisan Credit Card (KCC) (Ministry of Agriculture & Farmers' Welfare): Affordable credit for farmers for agricultural needs up to ₹3 lakh at 4% interest.,1,en
What documents do I need for PM Awas Yojana – Gramin (PMAY-G),PM Awas Yojana – Gramin (PMAY-G) (Ministry of Rural Development): Financial assistance to construct pucca houses for rural BPL households.,1,en
How do I apply for PM Fasal Bima Yojana,PM Fasal Bima Yojana (Ministry of Agriculture & Farmers' Welfare): Crop insurance scheme providing financial support to farmers in case of crop failure.,1,en
awas yojana ke baare mein batao,PM Jeevan Jyoti Bima Yojana (Ministry of Finance): ₹2 lakh life insurance for ₹436/year premium for bank account holders.,1,hi-mix
gramin ke liye PM Fasal Bima Yojana kaise milega,PM Fasal Bima Yojana (Ministry of Agriculture & Farmers' Welfare): Crop insurance scheme providing financial support to farmers in case of crop failure.,1,hi-mix
sarkar yojana ke baare mein batao,PM Fasal Bima Yojana (Ministry of Agriculture & Farmers' Welfare): Crop insurance scheme providing financial support to farmers in case of crop failure.,1,hi-mix
What are the benefits of MGNREGS (Mahatma Gandhi NREGS),MGNREGS (Mahatma Gandhi NREGS) (Ministry of Rural Development): 100 days/year guaranteed wage employment to rural households; adults seeking unskilled work.,1,en
Who is eligible for Deen Dayal Disabled Rehabilitation Scheme,Deen Dayal Disabled Rehabilitation Scheme (Ministry of Social Justice & Empowerment): Grants to NGOs for rehabilitation of persons with disabilities.,1,en
Tell me about PM Fasal Bima Yojana,PM Fasal Bima Yojana (Ministry of Agriculture & Farmers' Welfare): Crop insurance scheme providing financial support to farmers in case of crop failure.,1,en
mujhe Mahila Shakti Kendra Scheme ke baare mein jaankari chahiye,Mahila Shakti Kendra Scheme (Ministry of Women & Child Development): Empowering rural women through community participation and convergence of schemes.,1,hi-mix
What is PM Scholarship Scheme (PMSS)?,PM Scholarship Scheme (PMSS) (Ministry of Home Affairs): Scholarships for wards of ex-servicemen/police officers; technical/professional courses.,1,en
Tell me about Ayushman Bharat – PM-JAY,Ayushman Bharat – PM-JAY (Ministry of Health & Family Welfare): ₹5 lakh/year health cover for secondary & tertiary hospitalisation for BPL families.,1,en
Which ministry runs Eklavya Model Residential Schools,Mahila Shakti Kendra Scheme (Ministry of Women & Child Development): Empowering rural women through community participation and convergence of schemes.,0,en
How do I apply for PM-KISAN,"PM-KISAN (Ministry of Agriculture & Farmers' Welfare): Income support of ₹6,000/year in 3 installments to small & marginal farmers.",1,en
bima ke liye PM Jeevan Jyoti Bima Yojana kaise milega,PM Jeevan Jyoti Bima Yojana (Ministry of Finance): ₹2 lakh life insurance for ₹436/year premium for bank account holders.,1,hi-mix
How do I apply for PM Scholarship Scheme (PMSS),PM Scholarship Scheme (PMSS) (Ministry of Home Affairs): Scholarships for wards of ex-servicemen/police officers; technical/professional courses.,1,en
MGNREGS (Mahatma Gandhi NREGS) ke liye kya documents chahiye,MGNREGS (Mahatma Gandhi NREGS) (Ministry of Rural Development): 100 days/year guaranteed wage employment to rural households; adults seeking unskilled work.,1,hi-mix
What documents do I need for Eklavya Model Residential Schools,Eklavya Model Residential Schools (Ministry of Tribal Affairs): Quality education for ST students in tribal areas; free residential schooling.,1,en
Which ministry runs PM Awas Yojana – Gramin (PMAY-G),PM Awas Yojana – Gramin (PMAY-G) (Ministry of Rural Development): Financial assistance to construct pucca houses for rural BPL households.,1,en
awas ke liye PM Awas Yojana – Gramin (PMAY-G) kaise milega,PM Awas Yojana – Gramin (PMAY-G) (Ministry of Rural Development): Financial assistance to construct pucca houses for rural BPL households.,1,hi-mix
What are the benefits of Pradhan Mantri Matru Vandana Yojana,"Pradhan Mantri Matru Vandana Yojana (Ministry of Women & Child Development): ₹5,000 cash incentive for first live birth to support pregnant/lactating women.",1,en
Tell me about Eklavya Model Residential Schools,Eklavya Model Residential Schools (Ministry of Tribal Affairs): Quality education for ST students in tribal areas; free residential schooling.,1,en
How do I apply for Ayushman Bharat – PM-JAY,Ayushman Bharat – PM-JAY (Ministry of Health & Family Welfare): ₹5 lakh/year health cover for secondary & tertiary hospitalisation for BPL families.,1,en
What is Pradhan Mantri Matru Vandana Yojana?,"Pradhan Mantri Matru Vandana Yojana (Ministry of Women & Child Development): ₹5,000 cash incentive for first live birth to support pregnant/lactating women.",1,en
Who is eligible for Pradhan Mantri Matru Vandana Yojana,PM Suraksha Bima Yojana (Ministry of Finance): ₹2 lakh accident insurance for ₹20/year premium. Bank account mandatory.,0,en
Which ministry runs MGNREGS (Mahatma Gandhi NREGS),Ayushman Bharat – PM-JAY (Ministry of Health & Family Welfare): ₹5 lakh/year health cover for secondary & tertiary hospitalisation for BPL families.,0,en
How do I apply for Post-Matric Scholarship for SC Students,Mahila Shakti Kendra Scheme (Ministry of Women & Child Development): Empowering rural women through community participation and convergence of schemes.,0,en
ration yojana ke baare mein batao,PM MUDRA Yojana (Ministry of Finance): Loans ₹50K–₹10 lakh for non-farm micro/small enterprises (Shishu/Kishor/Tarun).,1,hi-mix
What are the benefits of National Scholarship Portal (NSP) Schemes,"Pradhan Mantri Matru Vandana Yojana (Ministry of Women & Child Development): ₹5,000 cash incentive for first live birth to support pregnant/lactating women.",0,en
How do I apply for PM MUDRA Yojana,PM MUDRA Yojana (Ministry of Finance): Loans ₹50K–₹10 lakh for non-farm micro/small enterprises (Shishu/Kishor/Tarun).,1,en
Tell me about Kisan Credit Card (KCC),Kisan Credit Card (KCC) (Ministry of Agriculture & Farmers' Welfare): Affordable credit for farmers for agricultural needs up to ₹3 lakh at 4% interest.,1,en
Tell me about PM Jeevan Jyoti Bima Yojana,PM MUDRA Yojana (Ministry of Finance): Loans ₹50K–₹10 lakh for non-farm micro/small enterprises (Shishu/Kishor/Tarun).,0,en
What documents do I need for Pradhan Mantri Matru Vandana Yojana,"Pradhan Mantri Matru Vandana Yojana (Ministry of Women & Child Development): ₹5,000 cash incentive for first live birth to support pregnant/lactating women.",1,en
What is Post-Matric Scholarship for SC Students?,Post-Matric Scholarship for SC Students (Ministry of Social Justice & Empowerment): Financial assistance to SC students pursuing post-matriculation courses.,1,en
What are the benefits of PM Jeevan Jyoti Bima Yojana,National Scholarship Portal (NSP) Schemes (Ministry of Education): Pre & post matric scholarships for SC/ST/OBC/minority students.,0,en
What are the benefits of National Scholarship Portal (NSP) Schemes,National Scholarship Portal (NSP) Schemes (Ministry of Education): Pre & post matric scholarships for SC/ST/OBC/minority students.,1,en
Which ministry runs Eklavya Model Residential Schools,Eklavya Model Residential Schools (Ministry of Tribal Affairs): Quality education for ST students in tribal areas; free residential schooling.,1,en
gramin yojana ke baare mein batao,Indira Gandhi National Old Age Pension Scheme (Ministry of Rural Development): Monthly pension of ₹200–₹500 for BPL senior citizens aged 60+.,1,hi-mix
What is PM-KISAN?,"PM-KISAN (Ministry of Agriculture & Farmers' Welfare): Income support of ₹6,000/year in 3 installments to small & marginal farmers.",1,en
Who is eligible for PM Suraksha Bima Yojana,"Pradhan Mantri Matru Vandana Yojana (Ministry of Women & Child Development): ₹5,000 cash incentive for first live birth to support pregnant/lactating women.",0,en
Tell me about Pradhan Mantri Matru Vandana Yojana,"Pradhan Mantri Matru Vandana Yojana (Ministry of Women & Child Development): ₹5,000 cash incentive for first live birth to support pregnant/lactating women.",1,en
gramin yojana ke baare mein batao,PM Suraksha Bima Yojana (Ministry of Finance): ₹2 lakh accident insurance for ₹20/year premium. Bank account mandatory.,1,hi-mix
National Scholarship Portal (NSP) Schemes ke liye kya documents chahiye,National Scholarship Portal (NSP) Schemes (Ministry of Education): Pre & post matric scholarships for SC/ST/OBC/minority students.,1,hi-mix
What are the benefits of Kisan Credit Card (KCC),Kisan Credit Card (KCC) (Ministry of Agriculture & Farmers' Welfare): Affordable credit for farmers for agricultural needs up to ₹3 lakh at 4% interest.,1,en
mujhe PM Scholarship Scheme (PMSS) ke baare mein jaankari chahiye,PM Scholarship Scheme (PMSS) (Ministry of Home Affairs): Scholarships for wards of ex-servicemen/police officers; technical/professional courses.,1,hi-mix
kisaan ke liye PM MUDRA Yojana kaise milega,PM MUDRA Yojana (Ministry of Finance): Loans ₹50K–₹10 lakh for non-farm micro/small enterprises (Shishu/Kishor/Tarun).,1,hi-mix
Tell me about Post-Matric Scholarship for SC Students,Post-Matric Scholarship for SC Students (Ministry of Social Justice & Empowerment): Financial assistance to SC students pursuing post-matriculation courses.,1,en
Who is eligible for National Scholarship Portal (NSP) Schemes,National Scholarship Portal (NSP) Schemes (Ministry of Education): Pre & post matric scholarships for SC/ST/OBC/minority students.,1,en
Deen Dayal Disabled Rehabilitation Scheme ke liye kya documents chahiye,Deen Dayal Disabled Rehabilitation Scheme (Ministry of Social Justice & Empowerment): Grants to NGOs for rehabilitation of persons with disabilities.,1,hi-mix
gramin yojana ke baare mein batao,PM Awas Yojana – Gramin (PMAY-G) (Ministry of Rural Development): Financial assistance to construct pucca houses for rural BPL households.,1,hi-mix
fasal ke liye Indira Gandhi National Old Age Pension Scheme kaise milega,Indira Gandhi National Old Age Pension Scheme (Ministry of Rural Development): Monthly pension of ₹200–₹500 for BPL senior citizens aged 60+.,1,hi-mix
Who is eligible for Kisan Credit Card (KCC),Kisan Credit Card (KCC) (Ministry of Agriculture & Farmers' Welfare): Affordable credit for farmers for agricultural needs up to ₹3 lakh at 4% interest.,1,en
What are the benefits of Deen Dayal Disabled Rehabilitation Scheme,Deen Dayal Disabled Rehabilitation Scheme (Ministry of Social Justice & Empowerment): Grants to NGOs for rehabilitation of persons with disabilities.,1,en
Which ministry runs Startup India Seed Fund Scheme,Startup India Seed Fund Scheme (Ministry of Commerce & Industry): Seed funding up to ₹50 lakh for early-stage DPIIT-recognised startups.,1,en
What are the benefits of PM-KISAN,"PM-KISAN (Ministry of Agriculture & Farmers' Welfare): Income support of ₹6,000/year in 3 installments to small & marginal farmers.",1,en
What documents do I need for Eklavya Model Residential Schools,National Scholarship Portal (NSP) Schemes (Ministry of Education): Pre & post matric scholarships for SC/ST/OBC/minority students.,0,en
How do I apply for PM Awas Yojana – Gramin (PMAY-G),Kisan Credit Card (KCC) (Ministry of Agriculture & Farmers' Welfare): Affordable credit for farmers for agricultural needs up to ₹3 lakh at 4% interest.,0,en
Tell me about Mahila Shakti Kendra Scheme,National Scholarship Portal (NSP) Schemes (Ministry of Education): Pre & post matric scholarships for SC/ST/OBC/minority students.,0,en
